Ticker,Total-Score,Beta,Sector,Price
NTAP,15.46,1.268,Technology,88.16000366210938
NTRS,23.86,1.133,Financial Services,84.37999725341797
NUE,32.38,1.633,Basic Materials,174.0399932861328
NVDA,13.59,1.744,Technology,495.2200012207031
NVR,20.3,1.118,Consumer Cyclical,7000.4501953125
NWSA,11.54,1.35,Communication Services,24.549999237060547
NXPI,19.84,1.577,Technology,229.67999267578125
O,15.47,0.937,Real Estate,57.41999816894531
OKE,25.625,1.625,Energy,70.22000122070312
OMC,16.29,0.971,Communication Services,86.51000213623047
ON,24.51,1.79,Technology,83.52999877929688
ORCL,13.89,1.006,Technology,105.43000030517578
ORLY,12.05,0.873,Consumer Cyclical,950.0800170898438
OXY,41.66,1.687,Energy,59.709999084472656
PANW,13.92,1.2,Technology,294.8800048828125
PARA,14.99,,Communication Services,14.789999961853027
PAYX,17.105,0.932,Industrials,119.11000061035156
PCAR,27.705,0.919,Industrials,97.6500015258789
PCG,30.38,1.286,Utilities,18.030000686645508
PEG,26.77,0.595,Utilities,61.150001525878906
PEP,22.06,0.533,Consumer Defensive,169.83999633789062
PFE,24.59,0.572,Healthcare,28.790000915527344
PFG,15.704999999999998,1.235,Financial Services,78.66999816894531
PG,28.57,0.429,Consumer Defensive,146.5399932861328
PGR,20.445,0.346,Financial Services,159.27999877929688
PH,29.305,1.522,Industrials,460.70001220703125
PHM,21.145000000000003,1.561,Consumer Cyclical,103.22000122070312
PKG,17.695,0.796,Consumer Cyclical,162.91000366210938
PLD,10.27,1.003,Real Estate,133.3000030517578
PM,28.45,0.639,Consumer Defensive,94.08000183105469
PNC,26.07,1.154,Financial Services,154.85000610351562
PNR,22.4,1.226,Industrials,72.70999908447266
PNW,30.925,0.482,Utilities,71.83999633789062
PPG,25.21,1.281,Basic Materials,149.5500030517578
PPL,31.32,0.835,Utilities,27.100000381469727
PRU,19.91,1.348,Financial Services,103.70999908447266
PSA,13.05,0.533,Real Estate,305.0
PSX,35.43,1.38,Energy,133.13999938964844
PTC,18.915,1.184,Technology,174.9600067138672
PWR,37.045,1.105,Industrials,215.8000030517578
PXD,32.1,1.329,Energy,224.8800048828125
PYPL,17.77,1.444,Financial Services,61.40999984741211
QCOM,15.39,1.339,Technology,144.6300048828125
QRVO,28.8,1.559,Technology,112.61000061035156
RCL,20.84,2.534,Consumer Cyclical,129.49000549316406
REG,11.295000000000002,1.179,Real Estate,67.0
REGN,18.04,0.141,Healthcare,878.2899780273438
RF,16.465,1.214,Financial Services,19.3799991607666
RHI,10.895,1.273,Industrials,87.91999816894531
RJF,25.505,1.042,Financial Services,111.5
RL,13.915,1.548,Consumer Cyclical,144.1999969482422
RMD,26.4,0.673,Healthcare,172.02000427246094
ROK,17.67,1.433,Industrials,310.4800109863281
ROL,19.795,0.651,Consumer Cyclical,43.66999816894531
ROP,21.67,0.986,Technology,545.1699829101562
ROST,18.23,1.043,Consumer Cyclical,138.38999938964844
RSG,20.945,0.683,Industrials,164.91000366210938
RTX,29.44666666666667,0.604,Industrials,69.43022155761719
RVTY,16.7,1.094,Healthcare,109.30999755859375
SBAC,11.58,,Real Estate,253.69000244140625
SBUX,24.67,0.971,Consumer Cyclical,96.01000213623047
SCHW,23.28,1.001,Financial Services,68.52449798583984
SHW,29.35,1.154,Basic Materials,311.8999938964844
SJM,30.71,0.206,Consumer Defensive,126.37999725341797
SLB,20.28,1.625,Energy,52.040000915527344
SNA,30.68,0.981,Industrials,288.8399963378906
SNPS,13.935,1.055,Technology,514.9099731445312
SO,32.98,0.49,Utilities,70.12000274658203
SPG,13.98,1.701,Real Estate,142.63999938964844
SPGI,13.04,1.145,Financial Services,440.5199890136719
SRE,23.59,0.714,Utilities,74.7300033569336
STLD,32.685,1.457,Basic Materials,118.0999984741211
STT,24.08,1.539,Financial Services,77.45999908447266
STX,10.605,1.065,Technology,112.9800033569336
STZ,24.66,0.937,Consumer Defensive,240.88470458984375
SWK,25.62,1.329,Industrials,98.0999984741211
SWKS,27.855,1.368,Technology,112.41999816894531
SYF,17.28,1.608,Financial Services,38.189998626708984
SYK,28.26,0.912,Healthcare,299.4599914550781
SYY,15.95,1.146,Consumer Defensive,73.12999725341797
T,23.91,0.701,Communication Services,16.244583129882812
TAP,21.29,0.845,Consumer Defensive,60.78175354003906
TDG,38.905,1.416,Industrials,1011.5999755859375
TEL,14.8,1.371,Technology,140.5
TER,16.445,1.531,Technology,108.5199966430664
TFC,25.42,1.067,Financial Services,46.0977783203125
TFX,29.63,1.118,Healthcare,249.33999633789062
TGT,14.35,1.151,Consumer Defensive,142.4199981689453
TJX,14.38,0.865,Consumer Cyclical,93.80999755859375
TMO,12.81,0.801,Healthcare,530.7899780273438
TMUS,24.63,0.482,Communication Services,160.3300018310547
TPR,14.085,1.598,Consumer Cyclical,36.810001373291016
TRGP,33.595,2.218,Energy,86.87000274658203
TRMB,12.695,1.508,Technology,53.20000076293945
TROW,16.98,1.404,Financial Services,107.69000244140625
TRV,20.33,0.591,Financial Services,190.49000549316406
TSCO,15.03,0.839,Consumer Cyclical,215.02999877929688
TSLA,25.23,2.441,Consumer Cyclical,248.47999572753906
TSN,36.295,0.754,Consumer Defensive,53.75
TT,15.66,1.23,Industrials,243.89999389648438
TXN,20.65,1.019,Technology,170.4600067138672
TXT,33.71,1.3,Industrials,80.41999816894531
UAL,28.71,1.538,Industrials,41.2599983215332
UDR,13.14,0.794,Real Estate,38.290000915527344
UHS,32.98,1.263,Healthcare,152.44000244140625
ULTA,15.47,1.306,Consumer Cyclical,489.989990234375
UNH,15.3,0.558,Healthcare,526.469970703125
UNP,23.45,1.066,Industrials,245.6199951171875
UPS,18.57,1.061,Industrials,157.22999572753906
URI,17.655,1.819,Industrials,573.4199829101562
USB,26.78,1.05,Financial Services,45.1808967590332
V,16.68,0.953,Financial Services,260.3500061035156
VLO,32.56,1.539,Energy,130.0
VMC,29.15,0.825,Basic Materials,227.00999450683594
VRSK,18.415,0.775,Industrials,238.86000061035156
VRSN,21.37,0.867,Technology,205.9600067138672
VRTX,22.77,0.368,Healthcare,406.8900146484375
VTR,12.805,1.288,Real Estate,49.84000015258789
VZ,18.73,0.394,Communication Services,37.70000076293945
WAB,23.29,1.414,Industrials,126.9000015258789
WAT,15.815,0.956,Healthcare,329.2300109863281
WBA,16.25,0.752,Healthcare,26.110000610351562
WDC,11.43,1.554,Technology,52.369998931884766
WEC,27.41,0.405,Utilities,84.16999816894531
WELL,12.62,,Real Estate,90.16999816894531
WFC,36.24,1.206,Financial Services,49.220001220703125
WM,16.65,0.723,Industrials,179.10000610351562
WMB,22.66,1.078,Energy,34.83000183105469
WMT,25.26,0.494,Consumer Defensive,52.54999923706055
WRB,21.9,0.563,Financial Services,70.72000122070312
WRK,58.51222222222222,1.111,Consumer Cyclical,40.63774490356445
WTW,18.635,0.737,Financial Services,241.1999969482422
WY,16.68,1.453,Real Estate,34.77000045776367
WYNN,26.095,1.916,Consumer Cyclical,91.11000061035156
XEL,25.125,0.372,Utilities,61.90999984741211
XOM,41.6,0.964,Energy,99.05937957763672
XYL,17.085,1.102,Industrials,114.36000061035156
YUM,20.1,1.094,Consumer Cyclical,130.66000366210938
ZBH,26.66,1.022,Healthcare,121.69999694824219
ZTS,18.77,0.848,Healthcare,197.3699951171875
